Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,70.400002,71.269997,65.900002,68.309998,51.275749,76958400
2006-02-01,70.000000,74.889999,70.000000,72.690002,54.563545,74037100
2006-03-01,72.559998,79.500000,71.900002,77.930000,58.743168,66651200
2006-04-01,78.250000,87.250000,77.500000,83.449997,62.904087,71813900
2006-05-01,83.449997,89.580002,81.209999,83.250000,62.753326,82124900
2006-06-01,83.599998,86.230003,76.400002,81.910004,61.954487,101961400
2006-07-01,81.349998,84.059998,76.889999,77.419998,58.558388,84047900
2006-08-01,77.419998,80.830002,72.900002,74.900002,56.652306,89738100
2006-09-01,75.000000,80.349998,72.129997,78.849998,59.869812,78827000
2006-10-01,79.349998,84.389999,77.769997,79.860001,60.636723,99571700
2006-11-01,80.010002,92.050003,79.110001,88.529999,67.219696,110028000
2006-12-01,89.599998,91.849998,88.349998,88.839996,67.694427,62864400
2007-01-01,88.900002,90.339996,84.599998,89.559998,68.243065,91900700
2007-02-01,89.949997,92.239998,85.239998,87.260002,66.490509,82094900
2007-03-01,86.599998,91.870003,85.910004,88.910004,68.009422,87688500
2007-04-01,88.900002,95.580002,88.080002,93.000000,71.137947,87978700
2007-05-01,93.150002,100.959999,92.379997,100.589996,76.943726,86799000
2007-06-01,101.449997,101.449997,93.580002,96.160004,73.829414,94558300
2007-07-01,96.720001,107.830002,96.269997,103.430000,79.411140,107692500
2007-08-01,103.029999,106.349998,90.080002,96.699997,74.243980,136928600
2007-09-01,96.099998,106.150002,94.019997,104.989998,80.883118,107584100
2007-10-01,105.449997,107.150002,92.000000,98.589996,75.952637,184091500
2007-11-01,98.300003,98.669998,86.750000,92.540001,71.291786,139211300
2007-12-01,92.500000,93.639999,85.550003,87.459999,67.620461,124346500
2008-01-01,87.570000,87.839996,74.120003,83.180000,64.311348,183593300
2008-02-01,83.370003,86.879997,78.709999,82.790001,64.009796,114896600
2008-03-01,79.320000,81.320000,71.589996,74.370003,57.782757,158008800
2008-04-01,75.019997,86.449997,74.040001,84.860001,65.933075,149974300
2008-05-01,84.860001,88.290001,80.550003,82.769997,64.309235,108920400
2008-06-01,82.610001,82.610001,65.550003,65.720001,51.300198,172686900
2008-07-01,64.949997,69.500000,61.009998,61.110001,47.701687,172145400
2008-08-01,61.389999,68.750000,60.770000,65.559998,51.175301,133037900
2008-09-01,67.000000,68.470001,54.200001,57.349998,45.043011,169175700
2008-10-01,56.759998,58.000000,39.990002,52.419998,41.170963,253674300
2008-11-01,51.900002,54.650002,36.169998,42.630001,33.481850,177147000
2008-12-01,41.639999,43.689999,36.279999,42.669998,33.765160,158466000
2009-01-01,42.799999,47.000000,39.509998,42.310001,33.480274,139705400
2009-02-01,41.730000,43.669998,31.400000,31.440001,24.878754,152449700
2009-03-01,30.959999,38.680000,29.049999,35.580002,28.438551,227580100
2009-04-01,34.520000,41.740002,34.209999,40.049999,32.011353,158407900
2009-05-01,40.310001,45.840000,40.090000,44.849998,35.847908,119288100
2009-06-01,45.540001,53.389999,41.090000,42.500000,34.303486,203961900
2009-07-01,42.630001,44.500000,38.919998,42.910000,34.634418,157987100
2009-08-01,43.180000,52.529999,42.509998,49.669998,40.090675,150311700
2009-09-01,49.209999,55.480000,47.759998,54.150002,44.126362,109453100
2009-10-01,53.849998,53.900002,47.180000,47.799999,38.951805,126937300
2009-11-01,47.820000,53.000000,47.330002,52.410000,42.708447,83821900
2009-12-01,52.750000,56.560001,52.750000,54.130001,44.498611,103468100
2010-01-01,55.720001,63.400002,54.799999,60.599998,49.817398,130667600
2010-02-01,60.740002,64.470001,57.139999,63.160000,51.921902,108739500
2010-03-01,63.049999,74.529999,63.000000,72.610001,60.097973,163859800
2010-04-01,73.239998,76.000000,69.879997,72.430000,59.948994,117851900
2010-05-01,72.620003,74.699997,60.610001,64.180000,53.120609,152590100
2010-06-01,64.269997,69.339996,59.840000,62.750000,52.238430,141914900
2010-07-01,62.480000,69.750000,60.650002,68.139999,56.725529,110005400
2010-08-01,69.010002,70.000000,59.480000,61.130001,50.889824,99202500
2010-09-01,61.790001,67.970001,61.660000,66.540001,55.730152,97619100
2010-10-01,67.540001,72.489998,65.860001,70.639999,59.164093,97535100
2010-11-01,70.709999,71.889999,61.840000,63.770000,53.410160,150042600
2010-12-01,64.660004,67.389999,62.820000,65.260002,54.989071,103910300
2011-01-01,66.150002,72.989998,66.000000,69.480003,58.544907,128661800
2011-02-01,70.000000,74.290001,69.599998,72.010002,60.676723,91690200
2011-03-01,71.930000,74.470001,67.339996,73.930000,62.656467,119791900
2011-04-01,74.290001,80.339996,70.879997,79.779999,67.614395,95129600
2011-05-01,80.349998,80.650002,75.129997,78.029999,66.131248,87491500
2011-06-01,77.949997,78.099998,70.290001,73.930000,62.987362,103740100
2011-07-01,73.809998,76.199997,69.070000,70.470001,60.039509,106421300
2011-08-01,71.610001,71.629997,56.009998,66.860001,56.963818,194916400
2011-09-01,66.959999,67.730003,57.529999,60.509998,51.903389,124749900
2011-10-01,60.099998,68.760002,56.900002,65.790001,56.432388,127425600
2011-11-01,64.230003,68.970001,62.119999,68.690002,58.919903,114604000
2011-12-01,68.699997,74.739998,68.510002,73.349998,63.318268,116561100
2012-01-01,74.699997,76.699997,72.739998,74.180000,64.034760,103787200
2012-02-01,74.959999,76.739998,74.300003,74.949997,64.699463,84337600
2012-03-01,74.959999,75.809998,72.300003,74.370003,64.576622,89633300
2012-04-01,74.000000,77.570000,70.589996,76.800003,66.686630,85289300
2012-05-01,76.589996,77.830002,68.930000,69.610001,60.443436,88091800
2012-06-01,68.669998,74.370003,66.820000,74.300003,64.894516,88430100
2012-07-01,74.209999,75.959999,70.849998,73.910004,64.553886,86964700
2012-08-01,74.320000,74.690002,70.019997,71.400002,62.361629,85793400
2012-09-01,71.500000,73.269997,69.029999,69.599998,61.154057,103075800
2012-10-01,69.860001,75.000000,69.199997,70.440002,61.892101,92093600
2012-11-01,70.589996,74.860001,69.300003,74.279999,65.266121,101603600
2012-12-01,74.410004,76.559998,72.930000,75.360001,66.622093,90048100
2013-01-01,76.550003,78.019997,72.680000,73.870003,65.304848,191804200
2013-02-01,74.489998,77.930000,74.230003,76.900002,67.983513,101429400
2013-03-01,76.699997,86.839996,76.169998,85.849998,76.383301,105390300
2013-04-01,85.599998,93.379997,83.800003,91.410004,81.330193,106380800
2013-05-01,91.080002,101.470001,90.720001,99.019997,88.101036,111622200
2013-06-01,99.360001,104.150002,96.309998,102.440002,91.612640,99711500
2013-07-01,102.930000,109.489998,98.989998,105.099998,93.991486,152799000
2013-08-01,105.989998,107.949997,101.769997,103.919998,92.936218,79814700
2013-09-01,105.129997,120.379997,104.620003,117.500000,105.559166,89293700
2013-10-01,117.970001,131.880005,113.339996,130.500000,117.238068,102075200
2013-11-01,130.899994,142.000000,130.580002,134.250000,120.606964,88250600
2013-12-01,134.990005,138.880005,130.550003,136.490005,123.066238,78680000
2014-01-01,136.009995,144.570007,123.080002,125.260002,112.940666,113971400
2014-02-01,124.239998,130.940002,118.769997,128.919998,116.240700,119986800
2014-03-01,127.180000,131.000000,121.370003,125.489998,113.786209,97798400
2014-04-01,126.239998,131.500000,121.919998,129.020004,116.987000,77966900
2014-05-01,128.740005,135.440002,128.270004,135.250000,122.635948,61514500
2014-06-01,135.500000,138.389999,126.199997,127.230003,116.011261,78754100
2014-07-01,127.660004,130.580002,120.410004,120.480003,109.856453,111816600
2014-08-01,120.449997,129.130005,117.870003,126.800003,115.619186,79247500
2014-09-01,125.620003,129.869995,124.099998,127.379997,116.851425,75364300
2014-10-01,127.370003,128.000000,116.320000,124.910004,114.585602,107425800
2014-11-01,125.349998,135.779999,123.370003,134.360001,123.254501,72415400
2014-12-01,134.309998,134.399994,120.580002,129.979996,119.932266,96842100
2015-01-01,131.070007,148.250000,126.180000,145.369995,134.132568,108953000
