Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,17.209999,19.430000,17.180000,18.570000,15.475244,1348993600
2006-02-01,18.400000,20.400000,17.820000,20.240000,16.866934,1336554100
2006-03-01,20.379999,22.000000,20.320000,21.670000,18.058617,1321031200
2006-04-01,21.850000,21.980000,20.200001,20.950001,17.458609,815271200
2006-05-01,21.020000,22.000000,19.500000,19.680000,16.400259,1256356100
2006-06-01,19.680000,20.799999,19.080000,19.530001,16.275257,911752200
2006-07-01,19.780001,20.110001,17.450001,17.879999,14.900235,869379300
2006-08-01,17.850000,22.150000,17.100000,21.990000,18.325285,1327204600
2006-09-01,22.049999,23.530001,21.180000,22.980000,19.150305,1036230000
2006-10-01,23.049999,24.780001,22.799999,24.129999,20.108654,920551700
2006-11-01,24.340000,27.440001,23.559999,26.910000,22.425356,1330540600
2006-12-01,26.950001,27.959999,26.450001,27.330000,22.775358,771539400
2007-01-01,27.459999,28.990000,25.760000,26.620001,22.183687,1263093600
2007-02-01,26.670000,28.850000,25.440001,25.940001,21.617010,1071784100
2007-03-01,25.400000,27.000000,24.820000,25.530001,21.275335,1044179400
2007-04-01,25.670000,27.200001,25.309999,26.740000,22.283688,867375700
2007-05-01,26.870001,28.480000,25.330000,26.920000,22.433685,1211839900
2007-06-01,26.950001,28.400000,25.840000,27.850000,23.208704,1042210800
2007-07-01,28.020000,30.389999,27.559999,28.910000,24.092047,1050946500
2007-08-01,28.770000,32.470001,28.580000,31.920000,26.600420,1534845000
2007-09-01,31.940001,33.380001,31.090000,33.130001,27.608774,839149300
2007-10-01,33.009998,33.599998,30.090000,33.060001,27.550438,934407500
2007-11-01,32.840000,34.240002,26.920000,28.020000,23.350367,1561733200
2007-12-01,28.000000,29.639999,26.820000,27.070000,22.558685,1094205200
2008-01-01,27.000000,27.299999,22.299999,24.500000,20.416988,1502588500
2008-02-01,24.620001,25.150000,21.770000,24.389999,20.325321,1620047300
2008-03-01,24.350000,25.990000,23.540001,24.090000,20.075317,1296938900
2008-04-01,24.520000,26.290001,22.910000,25.639999,21.367002,1086970200
2008-05-01,25.639999,27.000000,24.900000,26.719999,22.267015,1113842400
2008-06-01,26.719999,27.719999,23.160000,23.260000,19.383640,1042986100
2008-07-01,23.049999,23.400000,20.559999,21.990000,18.325285,1252163900
2008-08-01,22.200001,25.250000,21.670000,24.049999,20.041983,927302100
2008-09-01,24.350000,24.500000,21.430000,22.559999,18.800299,1171761400
2008-10-01,22.250000,22.440001,15.900000,17.770000,14.808569,1974155000
2008-11-01,17.680000,18.459999,14.200000,16.540001,13.783555,1376881300
2008-12-01,16.160000,17.930000,14.720000,16.299999,13.583549,1121765400
2009-01-01,16.410000,17.980000,14.910000,14.970000,12.475198,1106201100
2009-02-01,14.860000,17.090000,14.300000,14.570000,12.141857,1131979800
2009-03-01,14.330000,17.389999,13.610000,16.770000,13.975223,1353537700
2009-04-01,16.510000,19.930000,16.299999,19.320000,16.100258,1133287300
2009-05-01,19.240000,20.000000,17.610001,18.500000,15.416909,1121282300
2009-06-01,19.150000,20.350000,18.250000,18.650000,15.541911,1157147500
