Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,40.389999,43.200001,39.650002,40.549999,30.011091,190368300
2006-02-01,40.450001,43.000000,38.500000,42.150002,31.195246,169723200
2006-03-01,42.150002,43.950001,40.279999,42.299999,31.306257,192419800
2006-04-01,42.380001,42.930000,39.500000,39.930000,29.658640,142636300
2006-05-01,40.150002,41.610001,37.299999,38.119999,28.314240,264997600
2006-06-01,37.950001,38.799999,35.630001,35.790001,26.583591,297879600
2006-07-01,35.860001,35.980000,32.849998,34.709999,25.885052,294513800
2006-08-01,34.500000,35.220001,33.070000,34.290001,25.571844,284655800
2006-09-01,34.299999,37.650002,33.750000,36.270000,27.048428,245905100
2006-10-01,36.180000,38.240002,35.549999,37.330002,27.959999,268215200
2006-11-01,37.500000,38.849998,35.770000,37.970001,28.439362,355710000
2006-12-01,39.099998,40.369999,38.180000,40.160000,30.260794,323271600
2007-01-01,41.299999,41.840000,39.060001,40.740002,30.697830,316367900
2007-02-01,40.770000,42.009998,39.290001,39.590000,29.831301,258092400
2007-03-01,39.169998,39.650002,36.349998,36.740002,27.683796,326396300
2007-04-01,36.669998,39.689999,36.599998,37.869999,28.702271,250809800
2007-05-01,38.150002,39.619999,37.900002,38.869999,29.460184,276299900
2007-06-01,39.099998,41.189999,37.349998,39.349998,29.823977,370787500
2007-07-01,39.549999,41.009998,36.720001,37.169998,28.331892,417546100
2007-08-01,36.939999,38.540001,31.850000,38.310001,29.200827,769305600
2007-09-01,37.209999,37.369999,32.369999,32.439999,24.885418,515270200
2007-10-01,32.580002,34.549999,30.280001,31.510000,24.171995,400517900
2007-11-01,31.400000,31.580000,26.780001,28.559999,21.908979,406371300
2007-12-01,28.620001,29.799999,25.570000,26.940001,20.836792,330175300
2008-01-01,27.129999,31.080000,23.770000,30.639999,23.698559,482772200
2008-02-01,30.299999,30.690001,26.410000,26.549999,20.535145,356434400
2008-03-01,26.500000,30.000000,24.870001,27.969999,21.633448,375945900
2008-04-01,28.200001,30.160000,27.400000,28.799999,22.477716,315442200
2008-05-01,29.090000,30.500000,26.280001,27.360001,21.353830,358885800
2008-06-01,27.410000,28.129999,23.320000,23.420000,18.278755,367890700
2008-07-01,23.110001,25.850000,20.760000,23.830000,18.754108,397904400
2008-08-01,24.030001,28.750000,22.820000,27.120001,21.343328,407771000
2008-09-01,27.650000,30.740000,24.440001,25.889999,20.375319,621080800
2008-10-01,25.520000,26.090000,17.049999,23.590000,18.720545,628648800
2008-11-01,23.480000,23.790001,17.459999,23.110001,18.339630,459693800
2008-12-01,22.549999,25.190001,20.650000,23.020000,18.268204,439676400
2009-01-01,23.070000,25.490000,21.299999,21.530001,17.268965,431144100
2009-02-01,21.209999,23.850000,18.240000,20.889999,16.755627,454586800
2009-03-01,20.350000,24.360001,17.490000,23.559999,18.897200,533962800
2009-04-01,23.150000,27.070000,22.920000,26.320000,21.374781,398336600
2009-05-01,26.580000,26.770000,22.330000,23.160000,18.808504,425707400
2009-06-01,23.590000,25.120001,22.530001,23.629999,19.190199,350279000
2009-07-01,23.799999,26.190001,22.270000,25.940001,21.260956,299152600
2009-08-01,26.180000,27.940001,25.430000,27.290001,22.367441,343157900
2009-09-01,27.010000,28.440001,26.320000,26.639999,21.834686,255075500
2009-10-01,26.650000,28.020000,24.959999,25.090000,20.735233,327855200
2009-11-01,25.139999,27.950001,24.469999,27.360001,22.611238,324108800
2009-12-01,27.490000,29.440001,27.350000,28.930000,23.908737,272428900
2010-01-01,29.150000,29.240000,27.190001,28.010000,23.340363,305927400
2010-02-01,28.010000,31.450001,27.530001,31.200001,25.998550,358199600
2010-03-01,31.240000,32.980000,31.090000,32.349998,26.956827,311755400
2010-04-01,32.410000,37.029999,32.160000,35.230000,29.575090,371036400
2010-05-01,35.389999,36.299999,32.070000,33.860001,28.424988,522063700
2010-06-01,33.419998,34.169998,27.990000,28.070000,23.564373,445088000
2010-07-01,28.410000,29.370001,26.620001,28.510000,24.101723,375351500
2010-08-01,28.820000,29.240000,27.100000,27.820000,23.518419,279092800
2010-09-01,28.080000,32.230000,28.059999,31.680000,27.009304,235029100
2010-10-01,31.809999,32.139999,30.180000,30.900000,26.344301,248397600
2010-11-01,31.000000,32.820000,29.980000,30.209999,25.756029,285015300
2010-12-01,30.600000,35.490002,30.600000,35.060001,30.122614,242106100
2011-01-01,35.200001,38.119999,34.070000,36.770000,31.591810,229405900
2011-02-01,36.939999,39.380001,36.380001,37.470001,32.193218,174726800
2011-03-01,37.139999,37.860001,35.430000,37.060001,31.840963,225764900
2011-04-01,37.119999,38.509998,36.939999,37.150002,32.136189,192754700
2011-05-01,37.439999,37.939999,35.910000,36.279999,31.383614,205928600
2011-06-01,36.119999,36.310001,33.410000,36.220001,31.331697,267621000
2011-07-01,36.290001,37.250000,34.630001,34.930000,30.442919,200066500
2011-08-01,35.070000,35.070000,28.129999,33.380001,29.092031,451102200
2011-09-01,33.529999,35.330002,31.080000,32.869999,28.859812,280603400
2011-10-01,32.799999,37.650002,31.030001,35.799999,31.432360,242007200
2011-11-01,34.740002,39.790001,34.580002,39.220001,34.435112,231967000
2011-12-01,38.860001,42.470001,38.790001,42.040001,37.200287,230611500
2012-01-01,42.410000,45.500000,41.919998,44.389999,39.279755,196659700
2012-02-01,44.689999,48.070000,44.299999,47.570000,42.093662,189647500
2012-03-01,47.529999,50.419998,46.119999,50.310001,44.518230,197964600
2012-04-01,50.099998,52.389999,49.360001,51.790001,46.110020,176244800
2012-05-01,51.930000,52.880001,46.369999,49.340000,43.928715,286227600
2012-06-01,48.849998,53.279999,47.750000,52.990002,47.456779,287347600
2012-07-01,52.959999,54.279999,49.770000,52.180000,46.731354,205145900
2012-08-01,52.310001,57.180000,51.209999,56.750000,50.824162,188405400
2012-09-01,56.790001,60.580002,56.369999,60.369999,54.344254,144599900
2012-10-01,60.770000,63.200001,58.750000,61.380001,55.253448,197653000
2012-11-01,61.950001,65.230003,60.310001,65.070000,58.575130,178244000
2012-12-01,65.000000,65.919998,60.209999,61.849998,55.927322,143325700
2013-01-01,63.570000,68.150002,62.380001,66.919998,60.511818,127826000
2013-02-01,67.620003,69.190002,63.820000,68.500000,61.940529,143475800
2013-03-01,68.379997,71.449997,68.089996,69.779999,63.097954,128165200
2013-04-01,69.510002,74.589996,69.510002,73.349998,66.690788,155248500
2013-05-01,73.180000,81.559998,72.529999,78.660004,71.518707,158696200
2013-06-01,78.650002,79.680000,72.410004,77.470001,70.436737,177557000
2013-07-01,77.629997,81.230003,76.629997,79.029999,72.211227,125062100
2013-08-01,79.519997,80.500000,73.110001,74.489998,68.062958,169108600
2013-09-01,74.830002,78.809998,72.209999,75.849998,69.305618,147410900
2013-10-01,75.879997,78.599998,73.739998,77.889999,71.544189,164100100
2013-11-01,77.980003,82.269997,74.779999,80.669998,74.097694,138731300
2013-12-01,80.449997,82.470001,77.699997,82.339996,75.631622,128287300
2014-01-01,82.110001,82.570000,75.849998,76.849998,70.935722,137041800
2014-02-01,76.639999,83.099998,73.959999,82.029999,75.717079,147322300
2014-03-01,80.730003,83.199997,78.370003,79.129997,73.040245,129832500
