Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,32.520000,34.880001,31.809999,34.500000,22.161366,207353900
2006-02-01,34.270000,36.650002,33.560001,34.860001,22.392618,173221200
2006-03-01,35.049999,36.500000,34.340000,35.230000,22.630289,154184700
2006-04-01,35.470001,36.090000,33.549999,34.419998,22.353369,168042500
2006-05-01,34.669998,35.509998,32.750000,33.290001,21.619514,222474000
2006-06-01,33.509998,36.840000,33.119999,36.430000,23.933147,195372800
2006-07-01,36.900002,41.759998,35.000000,40.270000,26.455887,232498200
2006-08-01,40.380001,41.779999,38.000000,40.549999,26.639841,247940100
2006-09-01,40.520000,42.509998,39.900002,41.900002,27.782557,166075900
2006-10-01,42.150002,46.369999,41.240002,45.419998,30.116549,221964000
2006-11-01,45.990002,46.320000,42.290001,44.509998,29.513155,263203400
2006-12-01,44.650002,45.900002,42.630001,43.599998,28.909782,199626300
2007-01-01,44.029999,46.549999,43.160000,44.750000,29.922804,180030000
2007-02-01,44.900002,45.439999,42.349998,44.150002,29.521616,204242200
2007-03-01,43.950001,44.959999,42.759998,44.169998,29.534981,227502100
2007-04-01,44.590000,52.630001,44.520000,51.439999,34.691296,254707600
2007-05-01,51.650002,55.139999,50.540001,52.450001,35.372452,234967300
2007-06-01,52.520000,52.900002,48.000000,49.799999,33.585285,266895900
2007-07-01,49.910000,53.810001,48.430000,49.650002,33.733307,290100100
2007-08-01,49.619999,52.740002,48.110001,50.169998,34.086601,252721100
2007-09-01,50.490002,52.830002,48.799999,51.689999,35.119339,190699100
2007-10-01,52.000000,58.259998,51.439999,58.259998,39.886032,241501200
2007-11-01,57.880001,60.490002,54.060001,59.360001,40.639114,304006900
2007-12-01,58.759998,61.619999,56.560001,58.110001,39.783340,225164100
2008-01-01,58.150002,61.180000,42.320000,46.099998,31.767773,468739700
2008-02-01,46.200001,48.230000,44.130001,44.299999,30.527390,301121200
2008-03-01,44.689999,45.730000,36.820000,37.950001,26.151566,381436300
2008-04-01,38.389999,42.240002,36.799999,38.040001,26.443211,576788200
2008-05-01,37.810001,40.450001,37.799999,38.959999,27.082743,284443800
2008-06-01,38.959999,38.990002,34.490002,37.689999,26.199909,422514200
2008-07-01,37.410000,38.900002,31.150000,32.900002,23.099064,509814600
2008-08-01,33.090000,36.730000,32.740002,35.669998,25.043873,259200800
2008-09-01,35.619999,36.080002,30.340000,31.559999,22.158251,344917200
2008-10-01,31.420000,32.459999,23.639999,30.950001,21.969662,471992600
2008-11-01,30.930000,31.299999,22.820000,26.719999,18.967018,288339600
2008-12-01,26.370001,30.570000,24.129999,30.400000,21.579250,329424900
2009-01-01,30.459999,31.660000,26.870001,28.549999,20.558855,264083500
2009-02-01,28.090000,30.930000,24.170000,24.200001,17.426420,302360100
2009-03-01,23.820000,28.120001,20.049999,26.750000,19.262674,583899600
2009-04-01,26.490000,27.600000,22.330000,24.240000,17.747810,439428700
2009-05-01,24.230000,27.610001,23.809999,27.580000,20.193262,411954300
2009-06-01,27.709999,28.049999,24.370001,27.959999,20.471481,449657600
2009-07-01,28.100000,31.180000,25.049999,30.010000,22.279291,420149600
2009-08-01,30.450001,33.049999,28.690001,32.430000,24.075886,303758400
2009-09-01,32.290001,32.930000,29.940001,31.629999,23.481979,330974900
2009-10-01,31.740000,34.180000,30.830000,30.930000,23.240097,470937400
2009-11-01,31.120001,36.959999,30.290001,36.209999,27.207367,471939000
2009-12-01,36.290001,38.419998,36.099998,36.540001,27.455318,297669900
2010-01-01,36.820000,41.560001,36.549999,38.180000,28.980936,321365000
2010-02-01,38.560001,39.720001,35.759998,36.880001,27.994167,304944300
2010-03-01,37.029999,39.040001,36.099998,37.349998,28.350912,328490900
2010-04-01,37.639999,37.970001,33.540001,35.040001,26.876005,393998200
2010-05-01,35.290001,36.360001,30.700001,33.689999,25.840536,447318800
2010-06-01,33.430000,36.250000,32.990002,34.970001,26.822306,391069000
2010-07-01,34.830002,36.799999,33.650002,34.459999,26.724207,302902600
2010-08-01,34.860001,35.990002,34.020000,35.160000,27.267069,237706200
2010-09-01,35.380001,37.580002,34.520000,36.810001,28.546667,271490900
2010-10-01,36.759998,37.680000,36.020000,36.310001,28.453930,215040400
2010-11-01,36.439999,36.950001,33.939999,34.470001,27.012041,344612500
2010-12-01,34.750000,36.990002,34.669998,36.040001,28.242352,281068400
2011-01-01,36.290001,37.619999,33.000000,33.169998,26.270685,477954200
2011-02-01,33.340000,34.040001,31.850000,32.570000,25.795486,308279300
2011-03-01,32.599998,33.480000,31.059999,33.009998,26.143961,403814500
2011-04-01,33.049999,36.250000,33.000000,35.950001,28.805151,308624500
2011-05-01,36.439999,37.650002,36.070000,36.750000,29.446159,294946000
2011-06-01,36.599998,36.750000,34.369999,35.290001,28.276321,256501900
2011-07-01,35.169998,36.560001,34.049999,34.130001,27.643175,240770100
2011-08-01,34.250000,34.290001,29.469999,33.099998,26.808939,509896300
2011-09-01,33.049999,33.490002,30.709999,32.700001,26.484972,369272200
2011-10-01,32.590000,35.500000,30.540001,34.500000,28.278666,366412200
2011-11-01,33.810001,36.250000,33.130001,35.750000,29.303249,330471300
2011-12-01,35.730000,37.900002,34.860001,37.700001,30.901613,374356600
2012-01-01,37.880001,39.430000,37.810001,38.270000,31.745361,283497600
2012-02-01,38.549999,39.009998,37.779999,38.169998,31.662407,249387800
2012-03-01,38.150002,39.000000,36.910000,38.400002,31.853195,370644100
2012-04-01,38.299999,39.459999,37.770000,39.240002,32.912804,261500900
2012-05-01,38.939999,39.500000,37.020000,37.580002,31.520470,257387500
2012-06-01,37.180000,41.750000,37.020000,41.750000,35.018089,398750800
2012-07-01,41.250000,45.169998,41.060001,44.169998,37.452770,350865700
2012-08-01,44.450001,44.790001,42.610001,43.049999,36.503094,234490400
2012-09-01,43.139999,45.700001,42.869999,45.099998,38.241337,222406300
2012-10-01,44.970001,48.000000,44.970001,45.630001,39.059147,214635900
2012-11-01,45.750000,46.549999,42.360001,44.299999,37.920658,240683900
2012-12-01,44.470001,45.490002,40.020000,40.939999,35.044514,263124000
2013-01-01,41.860001,43.770000,40.939999,43.250000,37.376972,290067700
2013-02-01,42.240002,43.450001,40.830002,42.730000,36.927582,323510800
2013-03-01,42.330002,45.419998,42.330002,44.200001,38.197975,385637800
2013-04-01,44.000000,48.790001,43.770000,47.000000,41.009258,308632200
2013-05-01,44.799999,48.639999,44.599998,46.700001,40.747505,427841200
2013-06-01,48.930000,50.160000,46.060001,46.450001,40.529369,472136600
2013-07-01,46.259998,49.080002,46.029999,48.169998,42.416145,253298600
2013-08-01,48.439999,48.849998,46.470001,47.290001,41.641266,214828900
2013-09-01,47.520000,48.709999,47.009998,47.610001,41.923042,293099200
2013-10-01,48.919998,49.230000,45.080002,45.090000,40.061893,356726300
2013-11-01,44.869999,49.950001,44.619999,49.830002,44.273327,258884700
2013-12-01,49.740002,50.419998,47.610001,50.049999,44.468788,211085000
2014-01-01,49.880001,54.099998,49.299999,52.970001,47.490051,313826100
2014-02-01,52.910000,57.459999,51.919998,56.990002,51.094162,237342400
2014-03-01,56.099998,57.650002,53.570000,56.770000,50.896919,236574500
2014-04-01,56.650002,59.000000,54.700001,58.560001,52.911552,231378100
2014-05-01,58.549999,59.840000,54.400002,57.860001,52.279068,207700100
2014-06-01,57.910000,59.320000,57.240002,57.849998,52.270027,184139900
2014-07-01,57.700001,59.650002,56.720001,56.740002,51.653561,169185300
2014-08-01,56.580002,60.580002,55.570000,60.110001,54.721451,163270200
2014-09-01,59.730000,61.330002,58.549999,59.279999,53.965862,192370800
2014-10-01,59.090000,60.509998,52.490002,57.939999,53.130730,301245900
2014-11-01,57.950001,60.869999,57.570000,60.400002,55.386536,179364400
